appid,wikidata_name,esrb_rating,hltb_id,igdb_id,metacritic_id,opencritic_id,game_engine
17080,Tribes: Ascend,Teen,,tribes-ascend,,,Unreal Engine 3
24790,Command & Conquer 3: Tiberium Wars,Teen,,command-conquer-3-tiberium-wars,,,SAGE
2290,Q1088780,Mature 17+,,final-doom,,,id Tech 1
20,Team Fortress Classic,Mature 17+,,team-fortress-classic,,,GoldSrc
203750,Binary Domain,Mature 17+,,binary-domain,,12631,
210990,Pro Cycling Manager 2012,,,pro-cycling-manager-2012,,,
200370,A Game of Dwarves,,,a-game-of-dwarves,,,
2291020,Anonymous;Code,Mature 17+,,anonymous-code,,15452,
24075,Train Simulator: Network Southeast Class 47 Loco Add-On,,,train-simulator-network-southeast-class-47-loco-add-on,,,
1668690,Alina of the Arena,Teen,,alina-of-the-arena,,14000,
1736740,Cactus Clicker - Bofete Stories,,,cactus-simulator-bofete-stories,,,
1720600,I Love Finding Cats,,,i-love-finding-cats,,12605,
1713640,Ransack Raccoon,,,ransack-raccoon,,,
1930360,Fever Dream,,,fever-dream,,,
1798150,Burning Faith,,,burning-faith,,,
225428,Cities in Motion 2: Wending Waterbuses,,,cities-in-motion-2-wending-waterbuses,,,
1957990,Tile Cities,,,tile-cities,,,
1665040,Griddlers Beach Season,,,griddlers-beach-season,,,
1695214,Tiger Tank 59 Ⅰ Super Tank MP085,,,tiger-tank-59-i-super-tank-mp085,,,
2218890,Against All Odds,,,against-all-odds--4,,,
2433220,Reflector Rhythm Master,,,reflector-rhythm-master,,,
1778460,Hidden Water,,,hidden-water,,,
1663170,Airplane Tycoon,,,airplane-tycoon,,,
2131500,Waifu Packer,,,waifu-packer,,,
2361900,Feet Sweeper,,,feet-sweeper,,,
2263970,Dot,,,dot--2,,,
2316950,Monster Battle,,,monster-battle,,,
2139300,Redemption Reapers,,,redemption-reapers,,14329,
1690400,Kula,,,kula,,,
1957220,Departure.,,,departure--1,,,
2345020,Bee Island,,,bee-island,,,
1669030,Indigo 7,,,indigo-7,,,
2413140,Titor's Time Traveling Tale,,,titors-time-traveling-tale,,,
2210130,System of Souls,,,system-of-souls,,13319,
2068220,Rampage Ball 2048,,,rampage-ball-2048,,,
2276100,Strength & Virtue: Trials of the Romer,,,strength-and-virtue-trials-of-the-romer,,,
1701090,SafeZoneVR,,,safezonevr,,,
2081860,The Van Game,,,the-van-game,,,
2243040,The Cleaner,,,the-cleaner--1,,,
2103680,Mediterranea Inferno,,,mediterranea-inferno,,15404,
1845050,Mirrorama,,,mirrorama,,,
2203710,Hunted: Kalevala,,,hunted-kalevala,,,
1803560,Through the world,,,through-the-world,,,
2279060,Stack Machines,,,stack-machines,,,
2461560,Water Defense,,,water-defense,,,
1840570,Tales of the Underworld - Legends of Primordial Sea,,,tales-of-the-underworld-legends-of-primordial-sea,,,
2369410,Lotte,,,lotte,,,
2508960,Calculator: The Game,,,calculator-the-game,,,
2230590,Sushi Clicker,,,sushi-clicker,,,
2077050,69 Natasha Hot,,,69-natasha-hot,,,
1970300,Whisper Books,,,whisper-books,,,
1637070,My New Memories,,,my-new-memories,,,
2075340,Eo,,,eo,,,
1705180,"Gunner, HEAT, PC!",,,gunner-heat-pc,,,
2271000,Rayland 2,,,rayland-2,,15530,
1926670,Cyber Dungeon: Excalibur,,,cyber-dungeon-excalibur,,,
2365140,The Artist,,,the-artist-act-one,,,
2329950,Kill Your Shapes,,,kill-your-shapes,,,
2113790,Home Office Simulator,,,home-office-simulator,,,
2445660,Shipping Manager,,,shipping-manager,,,
1796790,Chef RPG,,,chef-rpg,,,
2084880,Diets & Deities,,,diets-and-deities,,16360,
2103320,Screaming Noppy,,,screaming-noppy,,,
1748180,Unsung Empires: The Cholas,,,unsung-empires-the-cholas,,,
2145260,Coin Cascade,,,coin-cascade,,,
1989900,Femdom Waifu VR: Latex Lingerie Pack,,,,,,Q63966
1618390,Generation Nova,,,generation-nova,,,
1621170,Dungeon Cafe,,,,,,
1646000,Gobot,,,gobot,,,
2128990,Gold Of Lotusland,,,gold-of-lotusland,,,
2194610,Hero Roy's Wedding,,,,,,
2082960,Freed Software,,,freed-software,,,
2095830,Crisis of DreamCell,,,,,,
2098170,Anime Knight: Card Game,,,anime-knight-card-game,,,
211050,Battle vs Chess,,,battle-vs-chess,,,
1867210,Blades of Heroes: Samurai Rising,,,blades-of-heroes-samurai-rising,,,
1874980,Ready for Riot,,,ready-for-riot,,,
1898990,Jigsaw Pink,,,jigsaw-pink,,,
1927920,Real Feel,,,real-feel,,,
1676770,Stone Guardian,,,stone-guardian,,,
1680630,Alignment Zero,,,,,,
1686090,The Revenant Protocol,,,the-revenant-protocol,,,
1699950,Legends of Celestite RPG: The All Bearer,,,legends-of-celestite-the-all-bearer,,,
1704240,No Body,,,no-body,,,
1733280,TheNuWRLD,,,,,,
1755390,Bioxotica,,,bioxotica,,,
1784310,The Swordfish: Knight of the Deep,,,the-swordfish-knight-of-the-deep,,,
1814730,Rock Paper Scissors ULTIMATE,,,rock-paper-scissors-ultimate,,,
2294780,Backpack Survivors,,,backpack-survivors,,,
2427980,Monterona,,,monterona,,,
2429490,Nextbots In The Backrooms,,,,,,
2447100,Scarred,,,scarred,,19432,
2474430,TetherGeist,,,tethergeist,,20541,
2475520,Innertial,,,,,,
2479530,Crystal Math,,,crystal-math,,,
2488240,Light City District,,,light-city-district,,,
2493360,Dark and Deep,,,dark-and-deep,,17171,
2512460,Stream Basketball,,,stream-basketball,,,
2536600,Dusty Derby,,,dusty-derby,,,
2539870,Haunt or Heist,,,haunt-or-heist,,,
500,Q323981,Mature 17+,,left-4-dead,,,Source
420,Half-Life 2: Episode Two,Mature 17+,,half-life-2-episode-two,,,Source
40,Q647642,,,deathmatch-classic,,,GoldSrc
60,Ricochet,,,ricochet,,,GoldSrc
6550,Devil May Cry 3: Dante's Awakening,Mature 17+,,devil-may-cry-3-dante-s-awakening,,,
3720,Evil Genius,Teen,,evil-genius,,,
60600,ProtoGalaxy,,,protogalaxy,,,
9710,Desperados 2: Cooper's Revenge,Teen,,desperados-2-cooper-s-revenge,,,
8880,Freedom Force,,,freedom-force,,,Gamebryo
7980,Soldier of Fortune: Payback,Mature 17+,,soldier-of-fortune-payback,,,CloakNT
41600,Earthworm Jim 3D,Everyone,,earthworm-jim-3d,,,
6570,Onimusha 3: Demon Siege,Mature 17+,,onimusha-3-demon-siege,,,
46270,Star Wolves,,,star-wolves,,,
50970,Mystery Case Files: Madame Fate,Teen,,mystery-case-files-madame-fate,,,Adobe Director
703690,Nemesis,,,nemesis,,,CryEngine 3
403940,Dungelot: Shattered Lands,,,dungelot-shattered-lands,,2335,Q63966
441440,Sometimes Always Monsters,,,sometimes-always-monsters,,9318,RPG Maker VX
661920,Claybook,Everyone,,claybook,,6640,Unreal Engine 4
562620,Robonauts,Everyone,,robonauts,,4888,
441350,Assault Suit Leynos,,,assault-suit-leynos,,2988,
41046,Serious Sam HD: The Second Encounter - Serious 8 DLC,,,,,,
55385,FUNTIME! Pack,,,,,,
595140,Immortal Redneck,Mature 17+,,immortal-redneck,,4224,Q63966
858030,Paranoia: Happiness is Mandatory,Teen,,paranoia-happiness-is-mandatory,,8340,
431940,Wildfire,Everyone 10+,,wildfire,,9522,
895870,Project Wingman,,,project-wingman,,10599,Unreal Engine 4
370870,Dark Future: Blood Red States,,,dark-future-blood-red-states,,7738,Unreal Engine 4
914010,Train Station Renovation,Teen,,train-station-renovation,,10317,Q63966
598550,Huntdown,Teen,,huntdown,,,Q63966
977340,Skinny,,,skinny,,,
562230,Space Tyrant,,,space-tyrant,,,
368890,AR-K: The Great Escape,,,ar-k-the-great-escape,,,Q63966
365820,Company of Heroes 2 - The British Forces,,,company-of-heroes-2-platinum-edition,,1645,
38190,Romance of Rome,,,romance-of-rome,,,
904440,Type Defense,,,type-defense,,,
936610,Of Gods and Men: The Daybreak Empire,,,of-gods-and-men-the-daybreak-empire,,,
967970,Neon Breaker,,,neon-breaker,,,
792560,Ukhar,,,ukhar,,,
706240,Gravity Light,,,gravity-light,,,
776360,A Walk Along the Wall,,,a-walk-along-the-wall,,,
794650,I saw IT,,,i-saw-it,,,
589940,Eye of the Temple,,,eye-of-the-temple,,12478,
956390,Final Cut: Fame Fatale Collector's Edition,,,final-cut-fame-fatale-collectors-edition,,,
860640,Lingotopia,,,lingotopia,,,Q63966
860090,Erotic Jigsaw Challenge Vol. 1,,,erotic-jigsaw-challenge-vol-1,,,
935720,Cinderella VR,,,cinderella-vr,,,
818390,The Deer,,,the-deer--1,,,Q63966
776280,Lux Ex - Legacy,,,lux-ex-legacy,,,
599160,Skeletal Dance Party,,,skeletal-dance-party,,7069,Q63966
681790,ViKubb,,,vikubb,,,
823710,Who's in the Box?,,,whos-in-the-box,,,
859660,Discs of Steel Party,,,discs-of-steel-party,,,
891220,pla_toon,,,pla-toon,,,
939830,WHEEL TRAVEL,,,wheeltravel,,,
852790,The Adventure of Magical Girl,,,the-adventure-of-magical-girl,,,
895760,Ollie-Oop,,,ollie-oop,,,
45400,Fortix,,,fortix,,,
37390,Gemini Lost,,,gemini-lost,,,
562420,Armor Clash II,,,armor-clash-ii,,,
600250,Art of Guile,,,art-of-guile,,,
373120,Bernie Needs Love,,,bernie-needs-love,,,Construct
486850,Card of spirits,,,card-of-spirits,,,
618550,Chess of Blades,,,chess-of-blades,,,Ren'Py
729390,Debris Infinity,Everyone,,debris-infinity,,6779,Q63966
367350,Demon Hearts,,,demon-hearts,,,Q63966
723450,Dragon Hunt,,,dragon-hunt,,,
511330,Farm Life: Natures Adventure,,,farm-life-natures-adventure,,,
671200,GAIA 2200,,,gaia-2200,,,
555850,Galactic Landing,,,galactic-landing,,,Q63966
659510,Ghostie Quest,,,ghostie-quest,,,
572160,Golf for Workgroups,,,golf-for-workgroups,,,
731910,JumpSky,,,jumpsky,,,
384910,Last Half of Darkness - Society of the Serpent Moon,,,last-half-of-darkness-society-of-the-serpent-moon,,,
537020,Legions of Tyrandel,,,legions-of-tyrandel,,,
497670,Line/Dash,,,line-slash-dash,,,
444460,Love is Blind: Mutants,,,love-is-blind-mutants,,,
702180,Mafia is Alive,,,mafia-alive,,,
706690,Megatronic Void,,,megatronic-void,,,
713540,Neptunian Donut,,,neptunian-donut,,,
724130,Radar Warfare,,,radar-warfare,,,Q63966
393350,Shu's Garden,,,shus-garden,,,
375870,SLIDE: platformer,,,slide-platformer,,,Q63966
402560,Tabletopia,,,tabletopia,,,Q63966
477130,Surge,,,surge,,,
389010,Unnamed Fiasco,,,unnamed-fiasco,,,Q63966
508660,Triple X Tycoon,,,triple-x-tycoon,,,
678200,VR Table Sports,,,vr-table-sports,,,
484350,VRZ: Torment,,,vrz-torment,,,
834790,Eggs: All Guns Broken,,,eggs-all-guns-broken,,,
366380,MYTH - Steam Edition,,,myth--1,,,
3668350,Good Dreams,,,good-dreams--1,,,
3670170,Survival: Hold Your Self,,,survival-hold-your-self,,,
3673910,MODULAR,,,modular,,,
3683450,Otaku Survival Horror,,,otaku-survival-horror,,,
371190,Making History: The Calm and the Storm Gold Edition,,,making-history-the-calm-and-the-storm-gold-edition,,,
3714370,NoSlack Pets,,,noslack-pets-lo-fi-paws,,,
3745850,Luna & Sol: Nightmare Ward,,,luna-and-sol-nightmare-ward,,,
6210,Vegas: Make It Big™,,,vegas-make-it-big,,,
3330,Zuma,Everyone,,zuma-deluxe,,,
318020,Q20856816,,,act-of-aggression,,1779,IRISZOOM
311260,The Guild 3,,,the-guild-3,,13244,Phoenix VR
360,Half-Life Deathmatch: Source,Mature 17+,,half-life-deathmatch-source,,,Source
3630,Bookworm Adventures: Volume 2,,,bookworm-adventures-volume-2,,,
314290,Obludia,,,obludia,,,GameMaker
299420,CubeGun,,,cubegun,,,Q63966
269810,Spate,,,spate,,,
331430,Toby's Island,,,tobys-island,,,RPG Maker VX Ace
2567490,Mobile Store Simulator,,,mobile-store-simulator--1,,,
338810,Demise of Nations,,,demise-of-nations,,,libGDX
339530,Factions: Origins of Malu,,,factions-origins-of-malu,,,
314320,GamersGoMakers,,,gamersgomakers,,,
268320,Grapple,,,grapple,,,Unreal Engine 3
364270,Lilly and Sasha: Curse of the Immortals,,,lilly-and-sasha-curse-of-the-immortals,,,
333260,Marvin's Mittens,,,marvins-mittens,,,
